"Velocities","Coverage0","Coverage1","Coverage2","Coverage3","Coverage4","Coverage5","Coverage6","Coverage7","Coverage8","Coverage9","Coverage10","Coverage11","Points:0","Points:1","Points:2"
0.41846,0.00096643,5.0623e-06,2.6399e-05,0.9963,0.0036729,0.96643,0.9958,0.99727,0.99727,2.1337e-05,0.0027115,0,0.01,2.3938,3.21
0.41746,0.00096411,5.0861e-06,2.6627e-05,0.99628,0.003692,0.96411,0.99576,0.99725,0.99725,2.1541e-05,0.002733,0,0.01,2.3938,3.4
0.41744,0.00096405,5.0869e-06,2.6634e-05,0.99628,0.0036926,0.96405,0.99576,0.99724,0.99724,2.1547e-05,0.0027336,0,0.01,2.3938,3.41
0.41566,0.00095996,5.0904e-06,2.6781e-05,0.99627,0.0037035,0.95996,0.99566,0.99723,0.99723,2.169e-05,0.0027487,0,0.01,2.3938,3.6
0.41558,0.00095977,5.0904e-06,2.6786e-05,0.99627,0.0037039,0.95977,0.99566,0.99723,0.99723,2.1696e-05,0.0027492,0,0.01,2.3938,3.61
0.40883,0.00094418,5.0265e-06,2.6834e-05,0.99627,0.0037001,0.94418,0.99558,0.99722,0.99722,2.1807e-05,0.0027609,0,0.01,2.3938,3.8
0.40898,0.00094454,5.0294e-06,2.6843e-05,0.99627,0.0037011,0.94454,0.99558,0.99722,0.99722,2.1813e-05,0.0027615,0,0.01,2.3938,3.81
0.41234,0.00095229,5.0922e-06,2.7029e-05,0.99625,0.0037216,0.95229,0.99552,0.9972,0.9972,2.1937e-05,0.0027744,0,0.01,2.3938,4
0.41244,0.00095251,5.0934e-06,2.7031e-05,0.99625,0.0037219,0.95251,0.99552,0.9972,0.9972,2.1937e-05,0.0027745,0,0.01,2.3938,4.01
0.41842,0.00096633,5.1598e-06,2.7053e-05,0.99624,0.0037311,0.96633,0.99556,0.99721,0.99721,2.1893e-05,0.0027699,0,0.01,2.3938,4.2
0.41842,0.00096633,5.1606e-06,2.7058e-05,0.99624,0.0037315,0.96633,0.99556,0.99721,0.99721,2.1897e-05,0.0027703,0,0.01,2.3938,4.21
0.41911,0.00096791,5.1981e-06,2.726e-05,0.99622,0.0037503,0.96791,0.99547,0.99719,0.99719,2.2062e-05,0.0027876,0,0.01,2.3938,4.4
0.4187,0.00096697,5.194e-06,2.726e-05,0.99622,0.0037497,0.96697,0.99547,0.99719,0.99719,2.2066e-05,0.002788,0,0.01,2.3938,4.41
0.41256,0.0009528,5.1334e-06,2.729e-05,0.99623,0.0037451,0.9528,0.99539,0.99718,0.99718,2.2157e-05,0.0027975,0,0.01,2.3938,4.6
0.41272,0.00095315,5.1364e-06,2.7301e-05,0.99623,0.0037463,0.95315,0.99539,0.99718,0.99718,2.2164e-05,0.0027982,0,0.01,2.3938,4.61
0.41411,0.00095637,5.1664e-06,2.7403e-05,0.99622,0.003757,0.95637,0.99539,0.99717,0.99717,2.2237e-05,0.0028058,0,0.01,2.3938,4.8
0.41429,0.00095679,5.1696e-06,2.7412e-05,0.99621,0.0037581,0.95679,0.99539,0.99717,0.99717,2.2243e-05,0.0028065,0,0.01,2.3938,4.81
0.41194,0.00095137,5.1609e-06,2.7524e-05,0.99621,0.0037652,0.95137,0.99532,0.99716,0.99716,2.2363e-05,0.002819,0,0.01,2.3938,5
0.4119,0.00095127,5.1608e-06,2.7526e-05,0.99621,0.0037653,0.95127,0.99532,0.99716,0.99716,2.2365e-05,0.0028192,0,0.01,2.3938,5.01
0.41365,0.00095532,5.1951e-06,2.7631e-05,0.9962,0.0037767,0.95532,0.99525,0.99715,0.99715,2.2436e-05,0.0028266,0,0.01,2.3938,5.2
0.41343,0.0009548,5.1924e-06,2.7629e-05,0.9962,0.0037762,0.9548,0.99525,0.99715,0.99715,2.2436e-05,0.0028266,0,0.01,2.3938,5.21
0.41218,0.00095193,5.186e-06,2.7676e-05,0.99619,0.0037789,0.95193,0.99527,0.99714,0.99714,2.249e-05,0.0028322,0,0.01,2.3938,5.4
0.41234,0.00095229,5.1884e-06,2.7682e-05,0.99619,0.0037796,0.95229,0.99527,0.99714,0.99714,2.2493e-05,0.0028325,0,0.01,2.3938,5.41
0.41456,0.00095741,5.2367e-06,2.7848e-05,0.99617,0.0037969,0.95741,0.99521,0.99713,0.99713,2.2611e-05,0.0028448,0,0.01,2.3938,5.6
0.41479,0.00095796,5.2402e-06,2.7855e-05,0.99617,0.0037979,0.95796,0.99521,0.99713,0.99713,2.2615e-05,0.0028452,0,0.01,2.3938,5.61
0.42144,0.0009733,5.3274e-06,2.7959e-05,0.99616,0.0038149,0.9733,0.99523,0.99713,0.99713,2.2632e-05,0.0028469,0,0.01,2.3938,5.8
0.42127,0.00097291,5.3254e-06,2.7957e-05,0.99616,0.0038145,0.97291,0.99523,0.99713,0.99713,2.2632e-05,0.0028469,0,0.01,2.3938,5.81
0.41632,0.00096148,5.273e-06,2.7965e-05,0.99616,0.0038093,0.96149,0.99514,0.99712,0.99712,2.2692e-05,0.0028531,0,0.01,2.3938,6
0.41614,0.00096107,5.2723e-06,2.7972e-05,0.99616,0.0038098,0.96107,0.99514,0.99712,0.99712,2.27e-05,0.002854,0,0.01,2.3938,6.01
0.41355,0.00095509,5.2529e-06,2.8031e-05,0.99616,0.003812,0.95509,0.99506,0.99711,0.99711,2.2778e-05,0.0028621,0,0.01,2.3938,6.2
0.41372,0.00095547,5.2557e-06,2.8039e-05,0.99616,0.0038129,0.95547,0.99506,0.99711,0.99711,2.2783e-05,0.0028627,0,0.01,2.3938,6.21
0.41349,0.00095495,5.2652e-06,2.812e-05,0.99615,0.0038198,0.95495,0.99507,0.99711,0.99711,2.2855e-05,0.0028701,0,0.01,2.3938,6.4
0.4134,0.00095473,5.2647e-06,2.8124e-05,0.99615,0.00382,0.95473,0.99507,0.99711,0.99711,2.2859e-05,0.0028705,0,0.01,2.3938,6.41
0.41954,0.00096893,5.3652e-06,2.835e-05,0.99612,0.0038471,0.96893,0.99497,0.99709,0.99709,2.2985e-05,0.0028835,0,0.01,2.3938,6.6
0.41943,0.00096865,5.364e-06,2.835e-05,0.99612,0.003847,0.96865,0.99497,0.99709,0.99709,2.2986e-05,0.0028837,0,0.01,2.3938,6.61
0.41982,0.00096956,5.3731e-06,2.8382e-05,0.99612,0.0038503,0.96956,0.99492,0.99709,0.99709,2.3009e-05,0.0028861,0,0.01,2.3938,6.8
0.41967,0.00096921,5.3719e-06,2.8384e-05,0.99612,0.0038502,0.96921,0.99492,0.99709,0.99709,2.3012e-05,0.0028864,0,0.01,2.3938,6.81
