Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.00239092;0.00288054;0;0;0;0;0;0.000851886;0;0;0;0;0.00303993;0;4.80795e-08;0.00916381;0.00916393;0.0261522;1.75592;28.2441
0.00166322;0.00289672;0;0;0;0;0;0.000848844;0;0;0;0;0.00299275;0;4.79631e-08;0.00840202;0.00840214;0.0264325;1.78235;28.2176
0.00171029;0.00290123;0;0;0;0;0;0.00085112;0;0;0;0;0.00302018;0;4.79631e-08;0.00848334;0.00848346;0.0267057;1.80906;28.1909
0.00169818;0.0028857;0;0;0;0;0;0.000856237;0;0;0;0;0.00299338;0;4.79631e-08;0.00843401;0.00843414;0.0250991;1.83416;28.1658
0.00247219;0.00289586;0;0;0;0;0;0.000855782;0;0;0;0;0.00312237;0;3.89991e-08;0.00934669;0.00934681;0.0252765;1.85943;28.1406
0.00269091;0.00290993;0;0;0;0;0;0.000847934;0;0;0;0;0.00308585;0;5.09899e-08;0.0095351;0.00953522;0.0254532;1.88489;28.1151
0.00171468;0.00288836;0;0;0;0;0;0.000847301;0;0;0;0;0.00401224;0;1.44006e-07;0.00946305;0.00946328;0.0256291;1.91052;28.0895
0.0017802;0.00289392;0;0;0;0;0;0.00084497;0;0;0;0;0.00334898;0;4.79631e-08;0.00886854;0.00886868;0.0258042;1.93632;28.0637
0.00167877;0.0029004;0;0;0;0;0;0.000849249;0;0;0;0;0.00303567;0;4.79631e-08;0.00846457;0.0084647;0.0259787;1.9623;28.0377
0.00200859;0.00289757;0;0;0;0;0;0.000848556;0;0;0;0;0.00395075;0;4.80795e-08;0.009706;0.00970614;0.0261526;1.98845;28.0115
0.00164207;0.00289135;0;0;0;0;0;0.000855017;0;0;0;0;0.00295521;0;5.11063e-08;0.00834415;0.00834427;0.011549;2;28
0.00267041;0.00290123;0;0;0;0;0;0.00085076;0;0;0;0;0.00300667;1;0.0918873;0.00942971;0.101317;0.0264012;2.0264;27.9736
0.0025156;0.00289072;0;0;0;0;0;0.000846244;0;0;0;0;0.00305756;0;4.80795e-08;0.00931079;0.00931092;0.0265735;2.05297;27.947
0.00163168;0.00405387;0;0;0;0;0;0.00084588;0;0;0;0;0.00403476;0;4.49363e-08;0.0105669;0.010567;0.0267451;2.07972;27.9203
0.00205038;0.00295552;0;0;0;0;0;0.000859756;0;0;0;0;0.00365716;0;5.39003e-08;0.00952346;0.00952359;0.0243028;2.10402;27.896
0.00170162;0.00295052;0;0;0;0;0;0.000852229;0;0;0;0;0.00388476;0;4.50527e-08;0.00938959;0.0093897;0.0245616;2.12858;27.8714
0.00498244;0.00297253;0;0;0;0;0;0.00085895;0;0;0;0;0.00412691;0;1.37952e-07;0.0129421;0.0129424;0.0248144;2.1534;27.8466
0.00462089;0.00306688;0;0;0;0;0;0.000857676;0;0;0;0;0.00317761;0;1.20024e-07;0.0117249;0.0117251;0.0250613;2.17846;27.8215
0.00346137;0.00292044;0;0;0;0;0;0.000907063;0;0;0;0;0.00306918;0;4.79631e-08;0.0103591;0.0103593;0.0253025;2.20376;27.7962
0.00164748;0.00292953;0;0;0;0;0;0.000862923;0;0;0;0;0.00307485;0;4.80795e-08;0.00851548;0.00851559;0.025538;2.2293;27.7707
0.00166199;0.00289897;0;0;0;0;0;0.000860184;0;0;0;0;0.00316303;0;4.49363e-08;0.0085847;0.00858482;0.025768;2.25507;27.7449
0.00172864;0.00293568;0;0;0;0;0;0.00085504;0;0;0;0;0.00362825;0;4.59841e-08;0.00914818;0.0091483;0.0259926;2.28106;27.7189
0.00168851;0.00290398;0;0;0;0;0;0.000847315;0;0;0;0;0.00303767;0;4.50527e-08;0.00847793;0.00847806;0.0262119;2.30727;27.6927
0.0016787;0.00467844;0;0;0;0;0;0.000852754;0;0;0;0;0.00314052;0;7.20611e-08;0.0103516;0.0103518;0.0264261;2.3337;27.6663
0.00180582;0.0034467;0;0;0;0;0;0.000854613;0;0;0;0;0.00799092;0;4.20259e-08;0.014099;0.0140992;0.0246608;2.35836;27.6416
0.00167827;0.00297974;0;0;0;0;0;0.000860691;0;0;0;0;0.00301335;0;1.44006e-07;0.008533;0.00853322;0.0248459;2.38321;27.6168
0.00169171;0.00294738;0;0;0;0;0;0.000858755;0;0;0;0;0.00319222;0;4.79631e-08;0.00869084;0.00869095;0.0250283;2.40823;27.5918
0.00170655;0.00293949;0;0;0;0;0;0.00084876;0;0;0;0;0.00315483;0;4.59841e-08;0.00865019;0.00865029;0.0252079;2.43344;27.5666
0.00267674;0.00296299;0;0;0;0;0;0.000847595;0;0;0;0;0.00314391;0;4.79631e-08;0.00963167;0.00963179;0.025385;2.45883;27.5412
0.00172444;0.00293605;0;0;0;0;0;0.000846217;0;0;0;0;0.00317725;0;4.49363e-08;0.00868457;0.0086847;0.0255597;2.48439;27.5156
0.00166557;0.00292146;0;0;0;0;0;0.000847908;0;0;0;0;0.004268;0;4.80795e-08;0.00970369;0.00970382;0.0257322;2.51012;27.4899
0.00167274;0.00289223;0;0;0;0;0;0.000853033;0;0;0;0;0.00301475;0;4.50527e-08;0.00843326;0.00843337;0.0259026;2.53602;27.464
