Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
1678;1944;1944;11100;6712;3332;3.33133
1676;1940;1940;11084;6704;3332;3.32653
1675;1939;1939;11082;6700;3332;3.32593
1678;1942;1942;11088;6712;3332;3.32773
1674;1939;1939;11082;6696;3332;3.32593
1678;1942;1942;11088;6712;3332;3.32773
1676;2108;2108;11948;6704;3332;3.58583
1672;2314;2314;11292;6688;3332;3.38896
1671;2313;2313;11290;6684;3332;3.38836
1671;2313;2313;11290;6684;3332;3.38836
1676;1942;1942;11094;6704;3332;3.32953
1674;1940;1940;11088;6696;3332;3.32773
1677;1940;1940;11084;6708;3332;3.32653
1678;1942;1942;11088;6712;3332;3.32773
1674;1939;1939;11082;6696;3332;3.32593
1678;1942;1942;11088;6712;3332;3.32773
1675;1939;1939;11082;6700;3332;3.32593
1672;2314;2314;11292;6688;3332;3.38896
1671;2313;2313;11290;6684;3332;3.38836
1671;2313;2313;11290;6684;3332;3.38836
1677;1945;1945;11104;6708;3332;3.33253
1675;1939;1939;11082;6700;3332;3.32593
1678;1941;1941;11088;6712;3332;3.32773
1677;1941;1941;11088;6708;3332;3.32773
1674;1939;1939;11082;6696;3332;3.32593
1678;1942;1942;11088;6712;3332;3.32773
1674;1939;1939;11082;6696;3332;3.32593
1672;2314;2314;11292;6688;3332;3.38896
1671;2313;2313;11290;6684;3332;3.38836
1671;2313;2313;11290;6684;3332;3.38836
1676;2660;2660;14780;6704;3332;4.43577
1676;1942;1942;11094;6704;3332;3.32953
1678;1941;1941;11088;6712;3332;3.32773
1675;1940;1940;11088;6700;3332;3.32773
1676;1941;1941;11090;6704;3332;3.32833
1678;1942;1942;11088;6712;3332;3.32773
1675;1940;1940;11084;6700;3332;3.32653
1679;2112;2112;11958;6716;3332;3.58884
1672;2314;2314;11292;6688;3332;3.38896
1671;2313;2313;11290;6684;3332;3.38836
1672;2313;2313;11290;6688;3332;3.38836
1674;1943;1943;11100;6696;3332;3.33133
1676;1941;1941;11090;6704;3332;3.32833
1675;1940;1940;11088;6700;3332;3.32773
