Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
1724;2308;2308;15462;6896;3332;4.64046
1722;2436;2436;16436;6888;3332;4.93277
1723;2439;2439;16434;6892;3332;4.93217
1720;2432;2432;16414;6880;3332;4.92617
1720;2432;2432;16414;6880;3332;4.92617
1731;2446;2446;16434;6924;3332;4.93217
1905;2601;2601;16728;7620;3332;5.02041
1738;2364;2364;15830;6952;3332;4.7509
1732;2357;2357;15826;6928;3332;4.7497
1732;2357;2357;15816;6928;3332;4.7467
1730;2333;2333;15656;6920;3332;4.69868
1730;2442;2442;16492;6920;3332;4.94958
1727;2440;2440;16508;6908;3332;4.95438
1725;2439;2439;16512;6900;3332;4.95558
1723;2437;2437;16510;6892;3332;4.95498
1723;2437;2437;16498;6892;3332;4.95138
1731;2445;2445;16502;6924;3332;4.95258
1878;2586;2586;16792;7512;3332;5.03962
1753;2380;2380;15960;7012;3332;4.78992
1735;2364;2364;15918;6940;3332;4.77731
1733;2362;2362;15894;6932;3332;4.77011
1732;2341;2341;15762;6928;3332;4.73049
1730;2446;2446;16588;6920;3332;4.97839
1731;2448;2448;16598;6924;3332;4.98139
1726;2444;2444;16602;6904;3332;4.98259
1725;2443;2443;16600;6900;3332;4.98199
1724;2442;2442;16604;6896;3332;4.98319
1730;2451;2451;16626;6920;3332;4.9898
1850;2566;2566;16858;7400;3332;5.05942
1774;2444;2444;16414;7096;3332;4.92617
1738;2374;2374;16030;6952;3332;4.81092
1734;2369;2369;16014;6936;3332;4.80612
1734;2370;2370;16016;6936;3332;4.80672
1736;2462;2462;16732;6944;3332;5.02161
1734;2478;2478;16848;6936;3332;5.05642
1729;2450;2450;16696;6916;3332;5.0108
1731;2452;2452;16698;6924;3332;5.0114
1733;2461;2461;16724;6932;3332;5.01921
1731;2453;2453;16702;6924;3332;5.01261
1800;2518;2518;16844;7200;3332;5.05522
1820;2530;2530;16814;7280;3332;5.04622
1744;2385;2385;16136;6976;3332;4.84274
1737;2372;2372;16076;6948;3332;4.82473
1741;2377;2377;16106;6964;3332;4.83373
1742;2500;2500;17072;6968;3332;5.12365
1739;2466;2466;16808;6956;3332;5.04442
1740;2473;2473;16844;6960;3332;5.05522
1735;2464;2464;16800;6940;3332;5.04202
1736;2464;2464;16808;6944;3332;5.04442
1733;2458;2458;16794;6932;3332;5.04022
1774;2503;2503;16932;7096;3332;5.08163
1859;2579;2579;17084;7436;3332;5.12725
1755;2395;2395;16256;7020;3332;4.87875
1750;2391;2391;16246;7000;3332;4.87575
1744;2388;2388;16236;6976;3332;4.87275
1747;2388;2388;16230;6988;3332;4.87095
1748;2511;2511;17194;6992;3332;5.16026
1748;2477;2477;16930;6992;3332;5.08103
1745;2472;2472;16898;6980;3332;5.07143
1741;2469;2469;16880;6964;3332;5.06603
1740;2466;2466;16864;6960;3332;5.06122
1785;2508;2508;16990;7140;3332;5.09904
1883;2604;2604;17138;7532;3332;5.14346
1768;2405;2405;16318;7072;3332;4.89736
1756;2394;2394;16310;7024;3332;4.89496
1750;2388;2388;16292;7000;3332;4.88956
1755;2390;2390;16288;7020;3332;4.88836
1752;2386;2386;16260;7008;3332;4.87995
1755;2498;2498;17128;7020;3332;5.14046
1750;2477;2477;16998;7000;3332;5.10144
1747;2472;2472;16972;6988;3332;5.09364
