Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.00123176;0.000362899;0.000103555;0;0;0;0;0;0.000754535;0.00155063;0.319182;147716;0.00107815;0;9.79635e-08;0.324268;0.324325;0.00652273;0.293948;79.7061
0.00133878;0.00036585;0.000107291;0;0;0;0;0;0.000752375;0.0016077;0.321403;153124;0.00151969;0;8.39937e-08;0.327099;0.327179;0.00684217;0.300791;79.6992
0.0012443;0.000369504;0.000103084;0;0;0;0;0;0.00075006;0.00142643;0.296477;140920;0.00105404;0;7.20029e-08;0.301429;0.301488;0.00673482;0.307525;79.6925
0.00124944;0.000362835;0.000108246;0;0;0;0;0;0.000754565;0.00146376;0.292873;140360;0.00164643;0;7.79983e-08;0.298464;0.298524;0.00597626;0.313502;79.6865
0.00123926;0.000364424;0.000104447;0;0;0;0;0;0.000754694;0.0014281;0.291339;140360;0.00112119;0;1.31957e-07;0.296358;0.296414;0.00654044;0.320042;79.68
0.00129904;0.000362868;0.000103724;0;0;0;0;0;0.00149391;0.00157772;0.298192;148704;0.00116092;0;7.79983e-08;0.304196;0.304297;0.0063693;0.326411;79.6736
0.00125547;0.000374895;0.000103922;0;0;0;0;0;0.000757498;0.00151851;0.315965;148704;0.00107209;0;7.50297e-08;0.321052;0.321108;0.00633092;0.332742;79.6673
0.00123246;0.000368487;0.000102982;0;0;0;0;0;0.000754519;0.00152071;0.312282;148768;0.00105609;0;6.90343e-08;0.317323;0.317379;0.00682137;0.339564;79.6604
0.00124495;0.000369234;0.000103231;0;0;0;0;0;0.0007604;0.00157261;0.308638;148768;0.00107634;0;7.49715e-08;0.31377;0.313838;0.00633258;0.345896;79.6541
0.00122881;0.00036918;0.000103535;0;0;0;0;0;0.000753103;0.00155418;0.331121;148840;0.001081;0;1.50001e-07;0.336216;0.336279;0.00667191;0.352568;79.6474
0.00537442;0.000367072;0.000104882;0;0;0;0;0;0.000755481;0.00189686;0.357696;148840;0.00120899;0;1.48022e-07;0.367409;0.367515;0.00671628;0.359284;79.6407
0.00143564;0.000403045;0.000138153;0;0;0;0;0;0.000865491;0.00170409;0.343843;148840;0.00107664;0;8.10251e-08;0.349472;0.349538;0.00669617;0.365981;79.634
0.00131106;0.000368739;0.00011003;0;0;0;0;0;0.000753682;0.00159438;0.331091;155292;0.00108806;0;8.49832e-08;0.336322;0.33638;0.00679555;0.372776;79.6272
0.00128557;0.000373751;0.000104114;0;0;0;0;0;0.000755559;0.00145354;0.312782;141124;0.00239441;0;7.79983e-08;0.319154;0.319212;0.00574803;0.378524;79.6215
0.00145094;0.000481523;0.000146541;0;0;0;0;0;0.000865529;0.00156806;0.291454;141068;0.00111022;0;1.20024e-07;0.297083;0.297154;0.00668903;0.385213;79.6148
0.00125415;0.000371667;0.00010476;0;0;0;0;0;0.000755637;0.00146114;0.3233;140480;0.00151854;0;1.59023e-07;0.328771;0.328827;0.00655789;0.391771;79.6082
0.00125569;0.000371192;0.000103334;0;0;0;0;0;0.000755573;0.00147865;0.422183;144064;0.00118484;0;5.99539e-08;0.427339;0.427396;0.00635821;0.398129;79.6019
0.00145908;0.000390865;0.0002137;0;0;0;0;0;0.000857036;0.00178427;0.29615;144064;0.00106764;0;1.41968e-07;0.301928;0.302007;0.00625925;0.404389;79.5956
0.00129227;0.000368417;0.000103288;0;0;0;0;0;0.000773129;0.00146451;0.291581;144180;0.00107086;0;5.39585e-08;0.296659;0.296716;0.00611418;0.410503;79.5895
0.00833554;0.00441318;0.000104303;0;0;0;0;0;0.0007624;0.00147276;0.390446;144360;0.00109862;0;1.83005e-07;0.406639;0.406719;0.00635046;0.416853;79.5831
0.00124682;0.000369045;0.000103538;0;0;0;0;0;0.000763949;0.00148568;0.295356;144360;0.0010554;0;1.55997e-07;0.300385;0.300447;0.00646988;0.423323;79.5767
0.00125168;0.000368054;0.000103645;0;0;0;0;0;0.000758352;0.00148276;0.301982;144360;0.00169196;0;1.46974e-07;0.307643;0.307699;0.00651028;0.429833;79.5702
0.00126756;0.000366252;0.000103447;0;0;0;0;0;0.000762463;0.00147761;0.328088;144360;0.00106102;0;1.11002e-07;0.333131;0.333189;0.00688816;0.436722;79.5633
0.00129118;0.00036512;0.000103946;0;0;0;0;0;0.000768099;0.00153758;0.311963;145032;0.00120351;0;2.11003e-07;0.317237;0.317325;0.00674686;0.443468;79.5565
0.00125779;0.000366946;0.000103267;0;0;0;0;0;0.000761931;0.00145682;0.306857;138456;0.00106229;0;8.09669e-08;0.311871;0.311927;0.00615467;0.449623;79.5504
0.00127234;0.000367441;0.000104231;0;0;0;0;0;0.000755454;0.00143625;0.308219;137548;0.00107331;0;1.60013e-07;0.313234;0.313293;0.00642496;0.456048;79.544
0.00128015;0.000376871;0.000103997;0;0;0;0;0;0.000822805;0.00148589;0.310495;145264;0.0010655;0;8.39937e-08;0.315636;0.315711;0.00669421;0.462742;79.5373
